AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 98.22222222222221, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 98.22222222222221, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 98.22222222222221, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 97.55555555555556, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 97.77777777777781, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 97.77777777777781, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 97.11111111111107, DeathCount: 0.0, EscapeeCount: 5.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 96.88888888888887, DeathCount: 0.0, EscapeeCount: 6.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 96.66666666666667, DeathCount: 0.0, EscapeeCount: 6.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 97.11111111111113, DeathCount: 0.0, EscapeeCount: 7.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 35.666666666666664, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 97.33333333333336, DeathCount: 0.0, EscapeeCount: 7.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 9.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 9.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.55555555555553, AvgPanic: 13.288888888888893, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 9.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 97.55555555555557, DeathCount: 0.0, EscapeeCount: 9.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.66666666666669, DeathCount: 0.0, EscapeeCount: 10.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.66666666666667, DeathCount: 0.0, EscapeeCount: 10.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.66666666666667, DeathCount: 0.0, EscapeeCount: 10.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.66666666666664, DeathCount: 0.0, EscapeeCount: 11.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.00000000000001, DeathCount: 0.0, EscapeeCount: 13.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 95.77777777777779, DeathCount: 0.0, EscapeeCount: 13.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 95.77777777777779, DeathCount: 0.0, EscapeeCount: 14.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 95.77777777777779, DeathCount: 0.0, EscapeeCount: 14.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.66666666666667, DeathCount: 0.0, EscapeeCount: 14.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.66666666666667, DeathCount: 0.0, EscapeeCount: 14.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.66666666666667, DeathCount: 0.0, EscapeeCount: 15.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.8888888888889, DeathCount: 0.0, EscapeeCount: 15.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.44444444444443, DeathCount: 0.0, EscapeeCount: 15.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.44444444444443, DeathCount: 0.0, EscapeeCount: 15.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.44444444444443, DeathCount: 0.0, EscapeeCount: 16.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.28888888888888, AvgPanic: 13.31111111111111, AvgPatience: 96.44444444444443, DeathCount: 0.0, EscapeeCount: 16.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.06666666666668, AvgPanic: 13.333333333333336, AvgPatience: 97.1111111111111, DeathCount: 0.0, EscapeeCount: 16.0
